&	Assets	Liabilities
01-Dec-1999	100.0000	100.0000
01-Jan-2000	96.6051	102.5265
01-Feb-2000	96.0010	107.4364
01-Mar-2000	102.2215	112.2250
01-Apr-2000	100.0630	110.5783
01-May-2000	98.6982	109.4962
01-Jun-2000	101.0148	112.1614
01-Jul-2000	100.1683	115.0832
01-Aug-2000	104.3742	118.1701
01-Sep-2000	101.0551	115.5499
01-Oct-2000	100.9164	117.8646
01-Nov-2000	96.4641	122.5196
01-Dec-2000	97.4996	125.9558
01-Jan-2001	100.1008	125.4648
01-Feb-2001	94.5233	128.0361
01-Mar-2001	90.7972	126.4441
01-Apr-2001	95.2661	121.3265
01-May-2001	95.6509	121.9926
01-Jun-2001	94.2076	123.1188
01-Jul-2001	94.2146	128.8874
01-Aug-2001	90.8730	132.3895
01-Sep-2001	86.3620	132.2561
01-Oct-2001	88.0296	141.3418
01-Nov-2001	91.8888	132.7567
01-Dec-2001	92.2347	129.8295
01-Jan-2002	91.4122	131.8879
01-Feb-2002	90.6588	133.3686
01-Mar-2002	92.5046	126.2069
01-Apr-2002	89.7191	132.0387
01-May-2002	89.6187	132.0155
01-Jun-2002	85.8701	134.3332
01-Jul-2002	81.7480	139.3855
01-Aug-2002	82.4815	148.2478
01-Sep-2002	77.0687	156.4847
01-Oct-2002	81.2467	148.8880
01-Nov-2002	84.3002	147.6715
01-Dec-2002	81.7119	155.1131
01-Jan-2003	80.2823	154.1579
01-Feb-2003	79.8041	160.0119
01-Mar-2003	80.1789	156.6505
01-Apr-2003	84.7422	159.3211
01-May-2003	88.1604	171.8512
01-Jun-2003	88.8995	167.1731
01-Jul-2003	89.0528	146.7443
01-Aug-2003	90.3834	150.5348
01-Sep-2003	90.6700	160.2151
01-Oct-2003	93.7815	154.3537
01-Nov-2003	94.4530	155.8153
01-Dec-2003	98.0845	158.1677
01-Jan-2004	99.4780	161.5603
01-Feb-2004	100.7501	165.5274
01-Mar-2004	100.0982	168.2017
01-Apr-2004	98.2671	156.8023
01-May-2004	98.9815	155.9953
01-Jun-2004	100.4153	157.8542
01-Jul-2004	98.5634	160.6447
01-Aug-2004	99.3940	168.1130
01-Sep-2004	100.2540	170.4066
01-Oct-2004	101.6035	172.8680
01-Nov-2004	104.1845	168.1848
01-Dec-2004	106.8373	172.9630
01-Jan-2005	105.3865	178.9222
01-Feb-2005	106.7652	176.5513
01-Mar-2005	105.3480	175.1056
01-Apr-2005	104.4681	182.4229
01-May-2005	106.8223	188.1790
01-Jun-2005	107.1725	191.9372
01-Jul-2005	109.4476	186.0710
01-Aug-2005	109.4268	192.5036
01-Sep-2005	109.8807	185.9534
01-Oct-2005	108.3747	181.7932
01-Nov-2005	110.9530	183.0923
01-Dec-2005	111.5663	188.3126
01-Jan-2006	113.7019	186.0388
01-Feb-2006	114.0065	188.3045
01-Mar-2006	114.7357	178.1554
01-Apr-2006	115.8976	172.1744
01-May-2006	113.6649	172.4940
01-Jun-2006	113.8538	174.6267
01-Jul-2006	114.8194	178.6191
01-Aug-2006	117.1707	184.6942
01-Sep-2006	119.3313	188.6839
01-Oct-2006	122.1563	190.8750
01-Nov-2006	124.1859	195.7999
01-Dec-2006	125.2369	189.8329
01-Jan-2007	126.4266	187.5809
01-Feb-2007	125.6038	195.0942
01-Mar-2007	126.6376	191.1661
01-Apr-2007	130.5232	193.0343
01-May-2007	133.1136	188.3589
01-Jun-2007	131.7054	186.0715
01-Jul-2007	129.5153	192.5655
01-Aug-2007	131.0996	196.4941
01-Sep-2007	134.7197	197.1450
01-Oct-2007	136.6569	200.6063
01-Nov-2007	133.7763	212.1567
01-Dec-2007	133.1993	210.6962
01-Jan-2008	128.5036	215.4348
01-Feb-2008	126.1603	214.6662
01-Mar-2008	125.9156	219.1075
01-Apr-2008	129.8724	213.2187
01-May-2008	130.6757	207.1538
01-Jun-2008	123.5172	213.3947
01-Jul-2008	122.6835	211.6499
01-Aug-2008	123.8656	218.7379
01-Sep-2008	115.8783	222.0092
01-Oct-2008	102.2360	216.4810
01-Nov-2008	98.5742	250.7853
01-Dec-2008	100.6117	282.1779
01-Jan-2009	94.7638	247.3392
01-Feb-2009	88.1170	243.2408
01-Mar-2009	93.4029	255.0589
01-Apr-2009	99.5093	237.4746
01-May-2009	103.6654	229.4672
01-Jun-2009	103.9394	231.5841
01-Jul-2009	109.6380	232.8945
01-Aug-2009	112.6550	239.1714
01-Sep-2009	115.7505	244.8240
01-Oct-2009	114.5611	239.3821
01-Nov-2009	119.2501	243.4198
01-Dec-2009	120.1573	227.0988
01-Jan-2010	117.8601	234.1543
01-Feb-2010	120.1370	234.2475
01-Mar-2010	124.8193	228.2554
01-Apr-2010	126.2870	236.6935
01-May-2010	119.8470	248.7521
01-Jun-2010	116.5978	261.8274
01-Jul-2010	122.4242	261.2662
01-Aug-2010	119.4002	282.6073
01-Sep-2010	126.4196	276.5962
01-Oct-2010	129.6774	264.7936
01-Nov-2010	129.1624	261.1851
01-Dec-2010	134.4386	250.1109
01-Jan-2011	136.5617	243.1692
01-Feb-2011	139.6965	246.9611
01-Mar-2011	139.6027	247.2260
01-Apr-2011	143.0357	252.4525
01-May-2011	142.4268	262.4925
01-Jun-2011	140.7908	256.6621
01-Jul-2011	139.6372	269.3641
01-Aug-2011	135.0693	296.8012
01-Sep-2011	129.0366	327.1783
01-Oct-2011	138.1626	315.0970
01-Nov-2011	137.6047	324.3363
01-Dec-2011	138.8355	334.5687
01-Jan-2012	143.3037	334.4075
01-Feb-2012	147.4252	327.7615
01-Mar-2012	150.0626	315.5524
01-Apr-2012	149.8423	329.9494
01-May-2012	144.0068	354.9925
01-Jun-2012	148.0906	350.5539
01-Jul-2012	150.0272	361.4749
01-Aug-2012	152.2947	358.0132
01-Sep-2012	154.9449	351.2436
01-Oct-2012	153.3912	351.2256
01-Nov-2012	154.1796	356.1460
01-Dec-2012	155.2042	349.5050
01-Jan-2013	160.1136	337.3293
01-Feb-2013	161.5894	341.7282
01-Mar-2013	165.3375	341.5794
01-Apr-2013	168.1818	355.1724
01-May-2013	169.4559	332.6868
01-Jun-2013	167.0183	322.2586
01-Jul-2013	172.6211	315.9473
01-Aug-2013	169.2519	313.9938
01-Sep-2013	173.5448	315.1722
01-Oct-2013	179.0403	319.4184
01-Nov-2013	182.1792	311.9375
01-Dec-2013	184.7609	305.5052
01-Jan-2014	181.3792	322.3570
01-Feb-2014	187.1504	325.0802
01-Mar-2014	187.9468	326.9896
01-Apr-2014	189.4013	333.3669
01-May-2014	192.8761	342.8263
01-Jun-2014	195.3868	341.6234
01-Jul-2014	193.4374	343.5233
01-Aug-2014	198.7022	357.7469
01-Sep-2014	196.2670	351.0246
01-Oct-2014	199.5780	360.9051
01-Nov-2014	203.3688	370.4130
01-Dec-2014	202.7624	379.9021
01-Jan-2015	200.4481	409.5213
01-Feb-2015	207.3894	390.9240
01-Mar-2015	205.5629	396.1204
01-Apr-2015	206.9510	381.5854
01-May-2015	208.3579	378.8092
01-Jun-2015	204.9815	365.9109
01-Jul-2015	208.1945	378.8203
01-Aug-2015	199.8165	378.8564
01-Sep-2015	196.7584	384.8092
01-Oct-2015	207.4889	381.7585
01-Nov-2015	207.5537	377.7912
01-Dec-2015	205.2456	378.0296
01-Jan-2016	199.2585	396.7184
01-Feb-2016	199.3380	408.2043
01-Mar-2016	208.6583	408.4436
01-Apr-2016	209.6966	407.1977
01-May-2016	211.8844	410.6958
01-Jun-2016	213.0136	433.2072
01-Jul-2016	218.6629	440.8138
&title=Pension assets v liabilities		
&subtitle=Returns (rebased)		
"&source=Ryan ALM, Inc"		
&footnote=delete if not required		
&comment=Line chart		
&doublescale=0		
&accumulate=false
